,Drive_Time,NormalValue,Drive_Time_Score
"101 COVE COURT,10473,NYC",2786.0,44.02581182348043,2.6415487094088257
"101 DICTUM COURT,11229,NYC",3666.0,25.70774354704413,1.5424646128226478
"101 DUTCHESS AVENUE,10304,NYC",3776.0,23.417985012489595,1.4050791007493757
"101 FALMOUTH STREET,11235,NYC",3676.0,25.49958368026644,1.5299750208159864
"101 GREENE AVENUE,11238,NYC",1640.0,67.88093255620316,4.07285595337219
"101 LAFAYETTE AVENUE,11217,NYC",1676.0,67.1315570358035,4.0278934221482094
"101 LEONARD STREET,10013,NYC",1735.0,65.90341382181515,3.954204829308909
"101 LIGHTHOUSE COURT,10473,NYC",2827.0,43.172356369691926,2.5903413821815153
"101 NORTH 5 STREET,11249,NYC",1004.0,81.11990008326394,4.867194004995836
"101 OSGOOD AVENUE,10304,NYC",3717.0,24.64612822647794,1.4787676935886764
"101 PATCHEN AVENUE,11221,NYC",1946.0,61.51124063280599,3.6906744379683594
"101 PELL PLACE,10464,NYC",3105.0,37.385512073272274,2.2431307243963365
"101 PIAVE AVENUE,10305,NYC",3593.0,27.22731057452124,1.6336386344712743
"101 PUTNAM AVENUE,11238,NYC",1695.0,66.73605328892589,4.004163197335553
"101 SHELLEY AVENUE,10314,NYC",4153.0,15.570358034970852,0.9342214820982511
"101 SHEPHERD AVENUE,11208,NYC",2263.0,54.91257285595337,3.294754371357202
"101 SPRATT AVENUE,10306,NYC",4452.0,9.346378018318063,0.5607826810990838
"101 STANTON STREET,10002,NYC",1272.0,75.54121565362198,4.532472939217318
"101 TARGEE STREET,10304,NYC",3802.0,22.876769358867605,1.3726061615320562
"101 TYSENS LANE,10306,NYC",4219.0,14.196502914238124,0.8517901748542874
"101 WARREN STREET,10007,NYC",1848.0,63.55120732722731,3.8130724396336384
"101 WARREN STREET,11201,NYC",1467.0,71.48209825145712,4.288925895087427
"101 WEST 12 STREET,10011,NYC",1418.0,72.50208159866779,4.350124895920067
"101 WEST 23 STREET,10011,NYC",1227.0,76.47793505412156,4.588676103247294
"101 WEST 24 STREET,10011,NYC",1250.0,75.9991673605329,4.559950041631973
"101 WEST 79 STREET,10024,NYC",1569.0,69.35886761032474,4.161532056619484
"101 WEST 81 STREET,10024,NYC",1560.0,69.54621149042464,4.172772689425479
"101 WEST 87 STREET,10024,NYC",2049.0,59.36719400499584,3.5620316402997503
"101 WYCKOFF AVENUE,11237,NYC",1694.0,66.75686927560366,4.005412156536219
"101-05 159 AVENUE,11414,NYC",2600.0,47.89758534554538,2.8738551207327228
"101-05 81 STREET,11416,NYC",2283.0,54.496253122398,3.26977518734388
"101-11 126 STREET,11419,NYC",2461.0,50.7910074937552,3.047460449625312
"101-11 93 STREET,11416,NYC",2239.0,55.41215653621981,3.3247293921731886
"101-12 35 AVENUE,11368,NYC",1943.0,61.5736885928393,3.6944213155703576
"101-12 95 AVENUE,11416,NYC",2188.0,56.47377185678601,3.3884263114071604
"101-13 WOODHAVEN BOULEVARD,11416,NYC",2098.0,58.34721065778518,3.5008326394671108
"101-14 SHORE FRONT PARKWAY,11694,NYC",3158.0,36.282264779350534,2.176935886761032
"101-18 125 STREET,11419,NYC",2523.0,49.50041631973355,2.970024979184013
"101-19 113 STREET,11419,NYC",2382.0,52.43547044129892,3.146128226477935
"101-19 129 STREET,11419,NYC",2479.0,50.41631973355537,3.024979184013322
"101-19 134 STREET,11419,NYC",2322.0,53.68442964196503,3.221065778517902
"101-19 84 STREET,11416,NYC",2377.0,52.539550374687764,3.1523730224812656
"101-20 217 PLACE,11429,NYC",2941.0,40.79933388842632,2.447960033305579
"101-21 113 STREET,11419,NYC",2384.0,52.39383846794338,3.143630308076603
"101-21 222 STREET,11429,NYC",3005.0,39.467110741049126,2.3680266444629474
"101-21 95 STREET,11416,NYC",2231.0,55.57868442964197,3.334721065778518
"101-22 120 STREET,11419,NYC",2391.0,52.248126561199,3.13488759367194
"101-23 110 STREET,11419,NYC",2372.0,52.6436303080766,3.158617818484596
"101-23 112 STREET,11419,NYC",2466.0,50.686927560366364,3.0412156536219817
"101-24 103 STREET,11416,NYC",2346.0,53.184845961698585,3.191090757701915
"101-24 91 STREET,11416,NYC",2278.0,54.60033305578684,3.27601998334721
"101-26 126 STREET,11419,NYC",2467.0,50.666111573688596,3.0399666944213157
"101-27 113 STREET,11419,NYC",2387.0,52.33139050791007,3.139883430474604
"101-27 98 STREET,11416,NYC",2272.0,54.725228975853454,3.283513738551207
"101-28 106 STREET,11416,NYC",2385.0,52.373022481265615,3.142381348875937
"101-28 126 STREET,11419,NYC",2468.0,50.64529558701082,3.0387177352206494
"101-28 91 STREET,11416,NYC",2281.0,54.53788509575354,3.2722731057452124
"101-29 113 STREET,11419,NYC",2389.0,52.28975853455454,3.137385512073272
"101-31 102 STREET,11416,NYC",2337.0,53.3721898417985,3.20233139050791
